publicFoodKey,classification,foodName,energy,protein,fatTotal,totalDietaryFibre,totalSugars,carbohydrates,calcium,iodine,magnesium,potassium,sodium,saturatedFat
F008461,11502,"Soft drink, tonic water, intense sweetened or diet",1,0.0,0.0,0.0,0.0,0.0,1,0.7,0,0,12,0.00
F008474,12101,"Sorghum, grain, uncooked",1465,8.2,3.6,8.6,1.2,65.8,10,1.0,124,363,1,0.36
F008508,21201,"Soup, broth style, with meat & noodles, instant dry mix",1520,10.8,6.3,2.2,6.0,64.1,43,15.0,32,98,4536,1.12
F008509,21201,"Soup, broth style, with meat, instant dry mix",1350,4.8,3.3,4.3,5.7,65.7,74,5.0,12,16,5020,1.61
F008513,21301,"Soup, chicken & noodle, cup of soup, prepared from instant dry mix with water",79,0.7,0.2,0.3,0.4,3.4,5,5.7,4,11,440,0.07
F008571,21202,"Soup, cream variety, instant dry mix",1628,5.3,13.2,6.5,8.1,59.1,42,10.0,14,339,4230,5.89
F008661,21202,"Soup, vegetable & noodle, instant dry mix",1514,8.7,6.3,3.9,16.0,65.5,42,5.0,41,15,2030,2.59
F008670,21202,"Soup, vegetable, instant dry mix",1201,6.7,2.1,3.3,10.3,58.3,108,10.0,36,22,7130,0.91
F008704,20104,"Soy beverage, reduced fat (1% fat), added Ca & vitamins A, B1, B2 & B12",187,3.0,0.9,0.6,1.7,5.7,115,1.3,13,189,45,0.14
F008719,20102,"Soy beverage, regular fat (3% fat), added Ca",246,3.7,2.7,0.6,2.6,4.6,115,1.3,21,191,44,0.43
F008720,20102,"Soy beverage, regular fat (3% fat), added Ca & vitamins A, B1, B2 & B12",257,4.4,2.7,0.6,2.6,4.6,115,1.3,21,191,44,0.43
F008721,20101,"Soy beverage, regular fat (3% fat), unfortified",246,3.7,2.7,0.6,2.6,4.6,13,1.3,21,191,44,0.43
F008737,13509,"Spaghetti in tomato & cheese sauce, canned",227,2.5,0.0,0.8,4.0,10.7,9,2.3,6,90,330,0.00
F008738,13509,"Spaghetti in tomato & cheese sauce, canned, reduced salt",227,2.5,0.0,0.8,4.0,10.7,9,2.3,6,90,287,0.00
F008740,18606,"Spam, canned",1238,14.2,26.1,0.0,1.2,1.9,5,4.7,13,440,920,8.60
F008744,12101,"Spelt, boiled, no added fat or salt",576,4.8,1.2,3.6,0.6,24.5,12,1.9,53,137,7,0.15
F008745,12101,"Spelt, uncooked",1388,11.7,3.0,8.8,1.4,59.2,21,1.3,122,330,3,0.36
F008749,24401,"Spinach, baby, fresh, raw",68,2.8,0.0,2.5,0.0,0.0,93,7.3,107,605,90,0.00
F008760,24401,"Spinach, Mature English, fresh, boiled, drained",97,2.8,0.4,2.9,0.7,0.7,59,0.0,76,570,23,0.00
F008761,24401,"Spinach, Mature English, fresh, raw",82,2.4,0.3,2.5,0.6,0.6,53,0.0,68,570,21,0.00
F008763,24401,"Spinach, water, fresh, raw",110,2.9,0.5,2.8,0.5,1.0,68,7.3,29,460,25,0.00
F008774,15101,"Sprat, blue, wild caught, flesh, skin & bones, fried, no added fat",444,22.0,1.9,0.0,0.0,0.0,872,52.0,54,402,794,0.59
F008775,15101,"Sprat, blue, wild caught, flesh, skin & bones, raw",378,18.7,1.6,0.0,0.0,0.0,742,46.5,46,342,675,0.50
F008777,27204,"Spread, hazelnut & chocolate flavoured",2192,6.8,30.3,3.7,57.2,57.8,130,9.0,75,430,42,7.96
F008783,31102,"Spread, yeast, marmite",624,13.3,0.9,11.8,11.8,16.6,25,8.8,71,1950,3400,0.14
F008785,31102,"Spread, yeast, vegemite",683,24.4,0.9,6.5,1.6,10.9,68,8.8,130,2122,3000,0.14
F008794,13406,"Spring roll, meat & vegetable filling, commercial, deep fried",1047,7.5,11.7,2.8,4.3,27.5,26,0.0,22,110,501,3.27
F008803,24503,"Sprout, alfalfa, fresh, raw",91,3.2,0.3,2.2,0.5,0.5,19,0.0,21,58,39,0.00
F008806,24503,"Sprout, bean, fresh, raw",94,3.1,0.1,1.3,1.0,1.6,10,0.0,14,150,1,0.00
F008810,24702,"Squash, button, fresh, boiled, drained",130,3.2,0.2,0.6,3.4,3.8,7,0.0,14,150,1,0.00
